coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
10,Liu I/Liu,Liu,162,39,42,0
10,Liu I/Liu,Liu,174,0,3,0
10,Liu I/Liu,he,175,9,11,0
10,Liu I/Liu,Liu,52,0,3,0
10,Liu I/Liu,him,47,19,22,0
10,Liu I/Liu,Liu,47,0,3,0
10,Liu I/Liu,his,175,16,19,1
10,Liu I/Liu,Liu,45,0,3,0
10,Liu I/Liu,him,44,17,20,0
10,Liu I/Liu,he,169,72,74,0
10,Liu I/Liu,myself,152,150,156,0
10,Liu I/Liu,Liu,24,61,64,0
10,Liu I/Liu,I,152,77,78,0
10,Liu I/Liu,his,143,68,71,0
10,Liu I/Liu,Liu,143,32,35,0
10,Liu I/Liu,Liu,90,0,3,0
10,Liu I/Liu,Liu I,197,65,70,0
10,Liu I/Liu,Liu,198,29,32,0
10,Liu I/Liu,you,182,90,93,0
10,Liu I/Liu,His,199,0,3,1
10,Liu I/Liu,You,199,22,25,0
10,Liu I/Liu,Liu,201,5,8,0
10,Liu I/Liu,he,144,27,29,0
10,Liu I/Liu,Liu,138,41,44,0
10,Liu I/Liu,he,203,5,7,0
10,Liu I/Liu,His,204,0,3,1
10,Liu I/Liu,Liu I,138,20,25,0
10,Liu I/Liu,Liu,127,13,16,0
10,Liu I/Liu,Liu,102,0,3,0
10,Liu I/Liu,him,103,16,19,0
10,Liu I/Liu,Liu,112,9,12,0
10,Liu I/Liu,Liu I,0,71,76,1
10,Liu I/Liu,Liu I,114,29,34,0
10,Liu I/Liu,me,202,53,55,0
10,Liu I/Liu,I.,87,10,12,0
10,Liu I/Liu,his,198,43,46,1
10,Liu I/Liu,Liu,87,6,9,0
10,Liu I/Liu,I,152,44,45,0
10,Liu I/Liu,Liu,183,5,8,0
10,Liu I/Liu,his,184,8,11,1
10,Liu I/Liu,he,152,31,33,0
10,Liu I/Liu,you,184,27,30,0
10,Liu I/Liu,you,185,40,43,0
10,Liu I/Liu,his,152,18,21,0
10,Liu I/Liu,Liu,16,0,3,0
10,Liu I/Liu,Liu,187,39,42,0
10,Liu I/Liu,him,151,67,70,0
10,Liu I/Liu,Liu,194,12,15,0
10,Liu I/Liu,Liu,165,16,19,0
10,Liu I/Liu,I,148,0,1,0
10,Liu I/Liu,Liu,151,0,3,0
17,a woman who was herding sheep on a hillside,her,5,21,24,0
17,a woman who was herding sheep on a hillside,her,4,54,57,0
17,a woman who was herding sheep on a hillside,she,4,21,24,0
17,a woman who was herding sheep on a hillside,a woman who was herding sheep on a hillside,3,13,56,0
17,a woman who was herding sheep on a hillside,her,4,13,16,0
19,the woman,Your,16,17,21,0
19,the woman,I,15,53,54,0
19,the woman,my,15,38,40,1
19,the woman,I,15,0,1,0
19,the woman,my,16,39,41,0
19,the woman,I,14,5,6,0
19,the woman,the woman,12,19,28,0
19,the woman,herself,12,70,77,0
19,the woman,The woman,6,0,9,0
19,the woman,I,11,54,55,0
19,the woman,my,10,16,18,1
19,the woman,I,10,0,1,0
19,the woman,me,9,40,42,0
19,the woman,my,9,4,6,1
19,the woman,I,8,0,1,0
19,the woman,I,7,33,34,0
19,the woman,me,6,55,57,0
19,the woman,she,13,5,8,0
19,the woman,I,11,9,10,0
19,the woman,your,18,40,44,1
19,the woman,you,17,47,50,0
19,the woman,my,36,13,15,1
19,the woman,I,35,31,32,0
19,the woman,The woman,35,0,9,0
19,the woman,you,34,122,125,0
19,the woman,you,34,55,58,0
19,the woman,you,34,46,49,0
19,the woman,the woman,32,37,46,0
19,the woman,the woman,29,41,50,0
19,the woman,I,17,11,12,0
19,the woman,you,27,44,47,0
19,the woman,She,25,0,3,0
19,the woman,her,24,35,38,0
19,the woman,she,24,5,8,0
19,the woman,I,23,69,70,0
19,the woman,me,23,56,58,0
19,the woman,my,23,13,15,1
19,the woman,the woman,20,67,76,0
19,the woman,I,19,54,55,0
19,the woman,I,18,0,1,0
19,the woman,her,27,14,17,0
19,the woman,I,6,63,64,0
11,Fortune,Fortune,6,34,41,0
146,the youngest daughter of the Dragon - King of the Sea of Dungting,the youngest daughter of the Dragon-King of the Sea of Dungting,8,5,68,0
148,the second son of the Dragon - King of Ging Dschou,the second son of the Dragon-King of Ging Dschou,8,89,137,0
149,the Dragon - King of,the Dragon-King of,8,107,125,1
150,my husband,my husband,9,4,14,0
151,my step - parents,their,10,48,53,1
151,my step - parents,they,11,26,30,0
151,my step - parents,my step-parents,10,16,31,0
151,my step - parents,they,10,37,41,0
152,their son,their son,10,48,57,0
154,my father,my father,15,38,47,0
154,my father,my father,23,13,22,0
155,your father,your father,18,40,51,0
155,your father,him,23,29,32,0
155,your father,his,23,88,91,0
155,your father,him,19,64,67,0
157,people,people,20,85,91,0
159,some one,some one,22,5,13,0
161,the gods,the gods,28,3,11,0
162,men,men,184,112,115,0
162,men,men,28,34,37,0
164,a stranger,a stranger,35,44,54,0
164,a stranger,a stranger,34,147,157,0
164,a stranger,a stranger,80,8,18,0
166,my dearest friend,my dearest friend,36,13,30,0
29,a warrior,a warrior,40,8,17,0
167,honored guest,honored guest,40,82,95,0
168,the king,I,91,57,58,0
168,the king,me,94,61,63,0
168,the king,the king,52,21,29,0
168,the king,I,95,0,1,0
168,the king,my,88,7,9,1
168,the king,his,53,7,10,0
168,the king,I,85,0,1,0
168,the king,the king,123,5,13,0
168,the king,my,95,34,36,0
168,the king,The king,84,0,8,0
168,the king,your,70,51,55,1
168,the king,the King,41,65,73,0
168,the king,the king,88,37,45,0
168,the king,you,74,30,33,0
168,the king,you,75,37,40,0
168,the king,his,106,42,45,1
168,the king,you,70,71,74,0
168,the king,The king,67,0,8,0
168,the king,my,114,79,81,1
168,the king,The king,114,0,8,0
168,the king,the king,76,60,68,0
168,the king,his,168,13,16,1
168,the king,he,106,5,7,0
168,the king,The king,168,0,8,0
168,the king,The king,103,0,8,0
168,the king,his,103,28,31,0
168,the king,my,104,8,10,1
31,the warrior,my,65,27,29,1
31,the warrior,the warrior,53,21,32,0
31,the warrior,The warrior,65,0,11,0
31,the warrior,The warrior,44,0,11,0
31,the warrior,he,42,111,113,0
31,the warrior,The warrior,42,0,11,0
171,the Spirits,the Spirits,46,19,30,0
173,our master,he,55,30,32,0
173,our master,He,54,0,2,0
173,our master,Our master,56,16,26,0
173,our master,our master,63,16,26,0
173,our master,Our master,53,43,53,0
174,the priest of the sun up on the coral - tower,the priest of the sun up on the coral-tower,53,93,136,0
176,a dragon,a dragon,56,30,38,0
177,The dragons,The dragons,57,0,11,0
177,The dragons,They,58,0,4,0
179,the priest,The priest,59,0,10,0
179,the priest,the priest,63,47,57,0
180,a human being,a human being,59,14,27,0
181,Human beings,They,61,0,4,0
181,Human beings,Human beings,60,0,12,0
181,Human beings,their,62,52,57,0
41,"a man in a purple robe , bearing a scepter of jade in his hand",his,64,99,102,1
41,"a man in a purple robe , bearing a scepter of jade in his hand","a man in a purple robe, bearing a scepter of jade in his hand",64,46,107,0
41,"a man in a purple robe , bearing a scepter of jade in his hand",him,66,19,22,0
185,my master,my master,65,27,36,0
186,a living human being,a living human being,67,29,49,0
188,your daughter,your daughter,70,51,64,0
188,your daughter,her,79,20,23,0
188,your daughter,her,71,18,21,0
188,your daughter,her,71,50,53,0
188,your daughter,her,72,24,27,0
188,your daughter,her,72,49,52,0
188,your daughter,She,73,0,3,0
188,your daughter,her,73,20,23,1
188,your daughter,her,73,41,44,0
188,your daughter,she,74,5,8,0
188,your daughter,her,78,37,40,0
188,your daughter,her,79,49,52,0
188,your daughter,her,80,57,60,0
188,your daughter,her,80,64,67,0
190,her husband,her husband,73,20,31,0
190,her husband,her husband,178,14,25,0
190,her husband,her husband,147,45,56,0
191,O King,you,80,110,113,0
191,O King,O King,75,42,48,0
191,O King,You,80,0,3,0
191,O King,you,80,27,30,0
46,the latter,the latter,195,31,41,0
46,the latter,the latter,77,5,15,0
192,a worthless husband,a worthless husband,78,13,32,0
47,the monarch,the monarch,82,10,21,0
48,a servant who took it into the interior of the palace,them,85,37,41,0
48,a servant who took it into the interior of the palace,them,84,61,65,0
48,a servant who took it into the interior of the palace,a servant who took it into the interior of the palace,82,41,94,0
52,an official,an official,84,35,46,0
12,Tsian Tang,I,122,1,2,0
12,Tsian Tang,he,89,10,12,0
12,Tsian Tang,you,117,14,17,0
12,Tsian Tang,his,157,94,97,0
12,Tsian Tang,I,116,41,42,0
12,Tsian Tang,his,116,18,21,1
12,Tsian Tang,I,156,0,1,0
12,Tsian Tang,he,116,5,7,0
12,Tsian Tang,him,115,19,22,0
12,Tsian Tang,Tsian Tang,115,0,10,0
12,Tsian Tang,Tsian Tang,114,67,77,0
12,Tsian Tang,himself,146,30,37,0
12,Tsian Tang,Tsian Tang,146,0,10,0
12,Tsian Tang,He,88,1,3,0
12,Tsian Tang,him,95,15,18,0
12,Tsian Tang,Tsian Tang,126,4,14,0
12,Tsian Tang,him,94,54,57,0
12,Tsian Tang,him,157,54,57,0
12,Tsian Tang,him,94,40,43,0
12,Tsian Tang,Tsian Tang,131,24,34,0
12,Tsian Tang,he,93,53,55,0
12,Tsian Tang,he,89,60,62,0
12,Tsian Tang,his,146,57,60,0
12,Tsian Tang,his,92,102,105,0
12,Tsian Tang,Tsian Tang,155,0,10,0
12,Tsian Tang,him,90,49,52,0
12,Tsian Tang,My,155,39,41,0
12,Tsian Tang,he,91,64,66,0
12,Tsian Tang,Tsian Tang,141,0,10,0
12,Tsian Tang,He,91,1,3,0
12,Tsian Tang,Tsian Tang,151,47,57,0
12,Tsian Tang,Tsian Tang,157,72,82,0
12,Tsian Tang,he,93,8,10,0
195,my beloved brother,my beloved brother,88,7,25,0
196,the ruler of the Tsian - Tang River,the ruler of the Tsian-Tang River,89,17,50,0
198,the Emperor Yau,the Emperor Yau,92,70,85,0
199,one of the kings of heaven,one of the kings of heaven,93,25,51,0
200,the kings of heaven,the kings of heaven,93,32,51,1
202,the king of heaven,the king of heaven,94,5,23,0
57,"A red dragon , a thousand feet long , with flashing eyes , blood - red tongue , scarlet scales and a fiery beard","A red dragon, a thousand feet long, with flashing eyes, blood-red tongue, scarlet scales and a fiery beard",97,0,106,0
57,"A red dragon , a thousand feet long , with flashing eyes , blood - red tongue , scarlet scales and a fiery beard",he,101,34,36,0
57,"A red dragon , a thousand feet long , with flashing eyes , blood - red tongue , scarlet scales and a fiery beard",him,100,52,55,0
57,"A red dragon , a thousand feet long , with flashing eyes , blood - red tongue , scarlet scales and a fiery beard",he,98,58,60,0
57,"A red dragon , a thousand feet long , with flashing eyes , blood - red tongue , scarlet scales and a fiery beard",He,98,0,2,0
57,"A red dragon , a thousand feet long , with flashing eyes , blood - red tongue , scarlet scales and a fiery beard",his,99,49,52,0
204,my brother,his,104,55,58,0
204,my brother,my brother,104,8,18,0
204,my brother,my brother,114,79,89,0
59,his guest,his guest,137,48,57,0
59,his guest,his guest,106,42,51,0
60,A youth clad in a purple gown and wearing a lofty hat,he,112,66,68,1
60,A youth clad in a purple gown and wearing a lofty hat,his,112,80,83,1
60,A youth clad in a purple gown and wearing a lofty hat,A youth clad in a purple gown and wearing a lofty hat,108,0,53,0
60,A youth clad in a purple gown and wearing a lofty hat,him,111,7,10,0
60,A youth clad in a purple gown and wearing a lofty hat,His,110,0,3,0
60,A youth clad in a purple gown and wearing a lofty hat,his,109,16,19,0
61,"a girl radiantly beautiful , wearing a robe of misty fragrance",her,112,25,28,0
61,"a girl radiantly beautiful , wearing a robe of misty fragrance",her,113,46,49,0
61,"a girl radiantly beautiful , wearing a robe of misty fragrance","a girl radiantly beautiful, wearing a robe of misty fragrance",111,18,79,0
61,"a girl radiantly beautiful , wearing a robe of misty fragrance",her,113,82,85,0
62,lo,lo,112,30,32,0
63,the dragon - princess whom he had met on his way,the dragon-princess whom he had met on his way,112,41,87,0
64,maidens in rosy garments,maidens in rosy garments,113,12,36,0
68,the youth,the youth,114,38,47,0
69,his brother,his brother,116,18,29,0
69,his brother,his brother,168,13,24,0
209,the heartless husband,him,122,7,10,0
209,the heartless husband,him,124,43,46,0
209,the heartless husband,the heartless husband,121,14,35,0
210,the fickle boy,the fickle boy,123,42,56,0
72,A thousand warriors with banners and spears,their,129,47,52,0
72,A thousand warriors with banners and spears,A thousand warriors with banners and spears,129,0,43,0
73,the warriors,the warriors,130,85,97,0
74,the enemy,the enemy,131,67,76,0
75,the guest who listened to it,his,131,131,134,0
75,the guest who listened to it,the guest who listened to it,131,94,122,0
76,A thousand maidens in crimson and green silk,A thousand maidens in crimson and green silk,133,0,44,0
77,the princess,the princess,134,14,26,0
77,the princess,the princess,162,17,29,0
77,the princess,her,165,136,139,0
77,the princess,the princess,165,83,95,0
77,the princess,her,165,56,59,1
77,the princess,her,164,18,21,0
77,the princess,The princess,163,0,12,0
77,the princess,the princess,152,94,106,0
78,all who heard it,all who heard it,135,59,75,0
79,the king of the sea of dungting,the King of the Sea of Dungting,140,5,36,0
79,the king of the sea of dungting,his,137,48,51,1
79,the king of the sea of dungting,his,137,10,13,0
79,the king of the sea of dungting,He,137,0,2,0
79,the king of the sea of dungting,The King of the Sea of Dungting,136,0,31,0
79,the king of the sea of dungting,his,142,125,128,0
82,Both rulers,their,142,24,29,1
82,Both rulers,they,142,6,10,0
82,Both rulers,Both rulers,138,0,11,0
83,The crowd of courtiers in the palace - hall,The crowd of courtiers in the palace-hall,139,0,41,0
86,their guest,their guest,142,24,35,0
87,the other inmates of the palace,the other inmates of the palace,142,41,72,0
211,The Princess of the Dungting Sea,She,147,0,3,0
211,The Princess of the Dungting Sea,her,147,45,48,1
211,The Princess of the Dungting Sea,her,148,42,45,1
211,The Princess of the Dungting Sea,her,147,69,72,0
211,The Princess of the Dungting Sea,her,150,37,40,0
211,The Princess of the Dungting Sea,The Princess of the Dungting Sea,146,77,109,0
213,another husband for her,another husband for her,148,22,45,0
216,each other,each other,163,87,97,0
216,each other,each other,183,91,101,0
216,each other,each other,150,110,120,0
216,each other,each other,198,13,23,0
217,a messenger,a messenger,152,56,67,0
219,a husband,a husband,153,8,17,0
220,a wife,a wife,170,19,25,0
220,a wife,a wife,153,32,38,0
221,an honest man,an honest man,153,52,65,0
222,an ordinary man,an ordinary man,154,20,35,0
90,the King of the Dungting Sea,the King of the Dungting Sea,157,4,32,0
91,the Queen of the Dungting Sea,the Queen of the Dungting Sea,159,47,76,0
92,the queen,My,160,37,39,1
92,the queen,the queen,160,11,20,0
92,the queen,she,162,5,8,0
224,My daughter,My daughter,160,37,48,0
95,her uncle,her uncle,165,56,65,0
102,his neighbors,his neighbors,169,162,175,0
104,a widow who lived in the North with her daughter,a widow who lived in the North with her daughter,170,40,88,0
104,a widow who lived in the North with her daughter,her,170,76,79,1
105,her daughter,my,179,22,24,1
105,her daughter,I,178,35,36,0
105,her daughter,I,179,57,58,0
105,her daughter,My,180,0,2,1
105,her daughter,I,178,62,63,0
105,her daughter,her,178,14,17,1
105,her daughter,she,178,5,8,0
105,her daughter,she,176,27,30,0
105,her daughter,her,176,9,12,0
105,her daughter,she,175,70,73,0
105,her daughter,her,175,53,56,0
105,her daughter,my,180,79,81,1
105,her daughter,I,181,19,20,0
105,her daughter,her,174,26,29,0
105,her daughter,I,182,78,79,0
105,her daughter,Her,171,0,3,1
105,her daughter,her daughter,170,76,88,1
105,her daughter,I,182,0,1,0
106,Her father,Her father,171,0,10,0
106,Her father,his,171,34,37,0
107,a Taoist,a Taoist,171,22,30,0
108,The mother,her,173,93,96,0
108,The mother,she,173,49,52,0
108,The mother,The mother,172,0,10,0
109,the daughter,the daughter,172,33,45,0
110,the girl,the girl,173,11,19,0
111,a distinguished husband,a distinguished husband,173,65,88,0
112,his bride,his bride,175,16,25,0
113,the dragon - princess,the dragon-princess,175,91,110,0
115,a son,his,182,104,107,1
115,a son,a son,177,30,35,0
115,a son,a son,182,71,76,0
227,the Princess of Dungting Sea,the Princess of Dungting Sea,178,73,101,0
228,my uncle,my uncle,179,22,30,0
229,My parents,they,180,39,43,0
229,My parents,My parents,180,0,10,0
230,my family,my family,180,79,88,0
231,a human maiden,a human maiden,181,46,60,0
234,his mother,his mother,182,104,114,0
118,his wife,his wife,184,8,16,0
118,his wife,me,186,15,17,0
118,his wife,me,184,49,51,0
120,a relative,a relative,188,19,29,0
123,The seamen,The seamen,190,0,10,0
123,The seamen,they,192,6,10,0
128,A man,A man,193,0,5,0
128,A man,him,193,61,64,0
128,A man,him,197,156,159,0
128,A man,he,196,9,11,0
129,fairies,fairies,193,29,36,0
130,The man,his,195,50,53,0
130,The man,him,195,94,97,0
130,The man,his,195,15,18,1
130,The man,He,195,0,2,0
130,The man,The man,194,0,7,0
131,his cousin,his cousin,198,43,53,0
131,his cousin,your,198,103,107,0
131,his cousin,His cousin,199,0,10,0
131,his cousin,I,199,49,50,0
131,his cousin,him,201,16,19,0
131,his cousin,your,201,65,69,0
131,his cousin,you,202,5,8,0
131,his cousin,him,203,13,16,0
131,his cousin,His cousin,204,0,10,0
131,his cousin,his cousin,195,15,25,0
131,his cousin,he,204,77,79,0
131,his cousin,he,204,105,107,0
238,a god,a god,199,30,35,0
