sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
64,1,hope,38,42,7241,7245,54,43.0,74.0,7246.0,7277.0,,,,,verb.emotion,True,48,direct_object,sir,4,8,12,male,1.0,secondary
64,1,hope,38,42,7241,7245,64,43.0,74.0,7246.0,7277.0,,,,,verb.emotion,True,48,direct_object,the baby,2,0,2,unknown,0.0,tertiary
64,1,hope,38,42,7241,7245,77,43.0,74.0,7246.0,7277.0,,,,,verb.emotion,True,48,direct_object,sir's lady,1,2,3,female,1.0,tertiary
65,1,says,26,30,7306,7310,54,31.0,33.0,7311.0,7313.0,,,,,verb.communication,True,49,direct_object,sir,4,8,12,male,1.0,secondary
67,0,says,0,4,7373,7377,54,5.0,35.0,7378.0,7408.0,,,,,verb.communication,True,50,direct_object,sir,4,8,12,male,1.0,secondary
67,0,says,0,4,7373,7377,116,5.0,35.0,7378.0,7408.0,,,,,verb.communication,True,50,direct_object,Molly's brave nurse,1,6,7,female,1.0,tertiary
68,2,says,37,41,7447,7451,116,42.0,45.0,7452.0,7455.0,,,,,verb.communication,True,51,direct_object,Molly's brave nurse,1,6,7,female,1.0,tertiary
70,0,says,0,4,7470,7474,54,5.0,49.0,7475.0,7519.0,,,,,verb.communication,True,53,direct_object,sir,4,8,12,male,1.0,secondary
70,0,says,0,4,7470,7474,116,5.0,49.0,7475.0,7519.0,,,,,verb.communication,True,53,direct_object,Molly's brave nurse,1,6,7,female,1.0,tertiary
72,3,struck,59,65,7655,7661,54,66.0,82.0,7662.0,7678.0,83.0,96.0,7679.0,7692.0,verb.contact,True,55,direct_object,sir,4,8,12,male,1.0,secondary
